村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Start Year,End Year,Data
0865,理家庄村志,女性结扎 Tubal Ligations,1976,2000,208
0876,永清村志,上环 Use of Intrauterine Device (IUD),1974,1993,81
0876,永清村志,女性结扎 Tubal Ligations,1974,1993,217
0876,永清村志,女性结扎 Tubal Ligations,1974,2007,500
0878,姜湾村志,上环 Use of Intrauterine Device (IUD),1991,1993,33
0878,姜湾村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1991,1993,6
0879,恬庄村志,上环 Use of Intrauterine Device (IUD),1966,1980,423
0879,恬庄村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1966,1980,121
0879,恬庄村志,人工流产 Abortions,1966,1980,264
0899,放羊坪村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1967,2017,604
0900,欧桥村志,上环 Use of Intrauterine Device (IUD),1970,1979,959
0901,钱家山村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1974,2002,80
0901,钱家山村志,女性结扎 Tubal Ligations,1974,2002,216
0901,钱家山村志,男性结扎 Vasectomies,1974,2002,2
0902,陈家墕村志,上环 Use of Intrauterine Device (IUD),1973,2010,45
0902,陈家墕村志,女性结扎 Tubal Ligations,1973,2010,54
0905,西上庄村志,男性结扎 Vasectomies,1963,1983,5
0905,西上庄村志,女性结扎 Tubal Ligations,1958,1983,58
0920,和平村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1979,2010,1423
0921,南窑头村,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1981,1995,215
0923,王安堡村志,上环 Use of Intrauterine Device (IUD),1982,2012,251
0923,王安堡村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1982,2012,36
0926,东六合村志,节育率 (%) Rate of Contraception,2010,2015,100
0927,光明村志,男性结扎 Vasectomies,1960,2010,30
0927,光明村志,女性结扎 Tubal Ligations,1960,2010,129
0927,光明村志,上环 Use of Intrauterine Device (IUD),1960,2010,471
0928,甲岸村志,上环 Use of Intrauterine Device (IUD),1998,2000,17
0928,甲岸村志,女性结扎 Tubal Ligations,1998,2000,12
0928,甲岸村志,人工流产 Abortions,1998,2000,2
0932,邢庄村志,绝育手术 Sterilization Surgeries,1980,2014,45
0932,邢庄村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1980,2014,45
0938,交丙坛村志,计划生育率 (%) Planned Birth Rate (%),1974,1979,85
0939,邢寨村志,男性结扎 Vasectomies,1985,1994,204
0939,邢寨村志,女性结扎 Tubal Ligations,1985,1994,115
0939,邢寨村志,上环 Use of Intrauterine Device (IUD),1985,1994,110
0945,大北村志,上环 Use of Intrauterine Device (IUD),1985,2012,459
0945,大北村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1985,2012,293
0950,西马村志,女性结扎 Tubal Ligations,1975,1980,74
0950,西马村志,上环 Use of Intrauterine Device (IUD),1975,1980,84
0954,辛庄村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1979,1983,30
0954,辛庄村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1979,1983,10
0957,城东村志,上环 Use of Intrauterine Device (IUD),1979,1995,158
0957,城东村志,女性结扎 Tubal Ligations,1979,1995,281
0957,城东村志,男性结扎 Vasectomies,1979,1995,4
0966,酒务村志,绝育手术 Sterilization Surgeries,1990,1999,89
0969,南窑头村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1981,1995,215
0986,大楚留村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1981,2013,92
0992,故城村志,男性结扎 Vasectomies,1982,1995,66
0992,故城村志,女性结扎 Tubal Ligations,1982,1995,72
0992,故城村志,上环 Use of Intrauterine Device (IUD),1982,1995,43
0997,葛寨村志,上环 Use of Intrauterine Device (IUD),1949,2017,217
0997,葛寨村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1949,2017,210
1057,北坞村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1980,2006,67
1066,村尾村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1999,2012,72
1081,张庄村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1979,2015,424
1086,地沟村志,上环 Use of Intrauterine Device (IUD),1965,2009,334
1086,地沟村志,女性结扎 Tubal Ligations,1972,2009,103
1086,地沟村志,男性结扎 Vasectomies,1972,2009,3
1107,大建安村志,上环 Use of Intrauterine Device (IUD),1980,2011,450
1107,大建安村志,女性结扎 Tubal Ligations,1989,2011,390
1111,褚村村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1979,2008,48
1112,梁庄村志,绝育手术 Sterilization Surgeries,1982,2004,118
1114,大营村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1982,2012,26
1114,大营村志,上环 Use of Intrauterine Device (IUD),1982,2012,413
1114,大营村志,女性结扎 Tubal Ligations,1982,2012,295
1124,崔指挥营村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1995,2013,10
1124,崔指挥营村志,绝育手术 Sterilization Surgeries,1976,1994,18
1124,崔指挥营村志,绝育手术 Sterilization Surgeries,1995,2013,10
1132,集义村志,女性结扎 Tubal Ligations,1982,2004,400
1147,陈村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1982,2015,43
1159,东富庄村志,女性结扎 Tubal Ligations,1982,2012,134
1159,东富庄村志,男性结扎 Vasectomies,1982,2012,5
1160,大里村志,上环 Use of Intrauterine Device (IUD),1982,2010,219
1160,大里村志,男性结扎 Vasectomies,1982,2010,9
1160,大里村志,女性结扎 Tubal Ligations,1982,2010,193
1161,大田村志,女性结扎 Tubal Ligations,1982,2000,88
1163,大溪村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1982,2007,337
1163,大溪村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1971,2007,98
1163,大溪村志,绝育手术 Sterilization Surgeries,1971,2007,132
1163,大溪村志,男性结扎 Vasectomies,1971,2007,4
1164,东岙顶村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1982,2013,148
1164,东岙顶村志,上环 Use of Intrauterine Device (IUD),1982,2013,242
1164,东岙顶村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1982,2013,90
1166,丰江周村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1978,2007,170
1169,岭口村志,上环 Use of Intrauterine Device (IUD),1982,1996,105
1169,岭口村志,女性结扎 Tubal Ligations,1982,1996,139
1180,大崂村志,男性结扎 Vasectomies,1965,2008,28
1180,大崂村志,女性结扎 Tubal Ligations,1965,2008,138
1180,大崂村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1965,2008,166
1184,宝陵村志,女性结扎 Tubal Ligations,1999,2014,162
1188,董格庄村志,女性结扎 Tubal Ligations,1973,1982,32
1188,董格庄村志,人工流产 Abortions,1973,2002,2
1195,大山西村志,绝育手术 Sterilization Surgeries,1970,1977,92
1201,查罕诺村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1982,2000,69
1201,查罕诺村志,上环 Use of Intrauterine Device (IUD),1982,2000,67
1208,荷疃村村志,绝育手术 Sterilization Surgeries,1979,1982,53
1221,杨家巷村志,上环 Use of Intrauterine Device (IUD),1973,2014,207
1221,杨家巷村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1973,2014,135
1226,东音义村志,上环 Use of Intrauterine Device (IUD),1982,2014,241
1226,东音义村志,男性结扎 Vasectomies,1982,2014,18
1226,东音义村志,女性结扎 Tubal Ligations,1982,2014,101
1238,益阳市赫山区岳家桥镇石坝口村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1980,2015,120
1253,上九山村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1975,2015,85
1258,半壁店村志(1408-2012),上环 Use of Intrauterine Device (IUD),1965,1999,138
1258,半壁店村志(1408-2012),结扎总数 Total Number of Vasectomies and Tubal Ligations,1965,1999,65
1259,汪庄村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1981,2012,69
1273,镇海尚志村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1982,2014,488
1281,宁新村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1990,2000,219
1281,宁新村志,上环 Use of Intrauterine Device (IUD),1990,2000,292
1281,宁新村志,绝育手术 Sterilization Surgeries,1990,2000,246
1285,石堂村志,绝育手术 Sterilization Surgeries,1991,2009,83
1293,前合村志,绝育手术 Sterilization Surgeries,1982,2003,155
1293,前合村志,上环 Use of Intrauterine Device (IUD),1982,2003,81
1300,王马庄村志,上环 Use of Intrauterine Device (IUD),1982,2016,62
1300,王马庄村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1982,2016,85
1308,刘家园村志,节育率 (%) Rate of Contraception,1991,2000,100
1308,刘家园村志,计划生育率 (%) Planned Birth Rate (%),1991,2000,100
1315,刘建村村志,女性结扎 Tubal Ligations,1973,2003,27
1315,刘建村村志,人工流产 Abortions,1973,2003,4
1318,马家泊村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1982,2015,188
1320,西宋门村志,上环 Use of Intrauterine Device (IUD),1978,1999,142
1320,西宋门村志,男性结扎 Vasectomies,1978,1999,27
1320,西宋门村志,女性结扎 Tubal Ligations,1978,1999,170
1333,义山村志,男性结扎 Vasectomies,1979,1999,13
1333,义山村志,男性结扎 Vasectomies,2000,2014,1
1333,义山村志,女性结扎 Tubal Ligations,1979,1999,486
1333,义山村志,女性结扎 Tubal Ligations,2000,2014,134
1333,义山村志,上环 Use of Intrauterine Device (IUD),1979,1999,11
1333,义山村志,上环 Use of Intrauterine Device (IUD),2000,2014,63
1333,义山村志,人工流产 Abortions,1979,1999,4
1333,义山村志,人工流产 Abortions,2000,2014,45
1333,义山村志,引产 Late-term Abortions,2000,2014,9
1335,万庄村志,上环 Use of Intrauterine Device (IUD),1982,1997,135
1335,万庄村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1982,1997,58
1351,龙眼洞村志,绝育手术 Sterilization Surgeries,1990,1998,589
1351,龙眼洞村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1990,1998,308
1374,大灰厂村志,上环 Use of Intrauterine Device (IUD),1982,1993,388
1374,大灰厂村志,绝育手术 Sterilization Surgeries,1982,1993,43
1378,郭公庄村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1979,1994,410
1378,郭公庄村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1979,2005,519
1395,冯佐村志,上环 Use of Intrauterine Device (IUD),1980,2006,323
1395,冯佐村志,绝育手术 Sterilization Surgeries,1980,2006,509
1419,黄庄村志,绝育手术 Sterilization Surgeries,1990,2015,125
1432,晟泰村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1963,2012,527
1441,联安村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1991,2002,360
1454,石牌村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1990,1998,417
1456,河南·汤阴南申庄村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1975,2007,21
1456,河南·汤阴南申庄村志,引产 Late-term Abortions,1975,2007,69
1456,河南·汤阴南申庄村志,人工流产 Abortions,1975,2007,186
1456,河南·汤阴南申庄村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1975,2007,245
1473,东寨村志,女性结扎 Tubal Ligations,1980,1989,48
1473,东寨村志,上环 Use of Intrauterine Device (IUD),1980,1989,63
1473,东寨村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1980,1989,2
1473,东寨村志,女性结扎 Tubal Ligations,1990,1999,26
1473,东寨村志,上环 Use of Intrauterine Device (IUD),1990,1999,39
1473,东寨村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1990,1999,3
1473,东寨村志,女性结扎 Tubal Ligations,2000,2009,17
1473,东寨村志,上环 Use of Intrauterine Device (IUD),2000,2009,21
1473,东寨村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),2000,2009,58
1473,东寨村志,女性结扎 Tubal Ligations,2010,2013,6
1473,东寨村志,上环 Use of Intrauterine Device (IUD),2010,2013,12
1473,东寨村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),2010,2013,13
1474,龙泾村志,女性结扎 Tubal Ligations,2003,2015,8
1474,龙泾村志,人工流产 Abortions,2003,2015,37
1476,谷里村志,上环 Use of Intrauterine Device (IUD),1973,2008,355
1476,谷里村志,男性结扎 Vasectomies,1973,2008,185
1476,谷里村志,女性结扎 Tubal Ligations,1973,2008,129
1486,范家村志,绝育手术 Sterilization Surgeries,1981,1983,24
1488,横涧村志,结扎总数 Total Number of Vasectomies and Tubal Ligations,1973,1985,53
1494,东泉村志,上环 Use of Intrauterine Device (IUD),1992,1998,217
1494,东泉村志,上环 Use of Intrauterine Device (IUD),1992,2006,313
1494,东泉村志,女性结扎 Tubal Ligations,1992,1998,482
1494,东泉村志,女性结扎 Tubal Ligations,1992,2006,408
1498,东于村志,上环 Use of Intrauterine Device (IUD),1982,2005,103
1498,东于村志,女性结扎 Tubal Ligations,1982,2005,1095
1505,谷里村志,上环 Use of Intrauterine Device (IUD),1973,2008,245
1505,谷里村志,男性结扎 Vasectomies,1973,2008,131
1505,谷里村志,女性结扎 Tubal Ligations,1973,2008,86
1507,吴弄村志,领取独生子女证 (人数) Certified Commitment to One Child Policy (number of people),1978,2012,45
,,,,,
,,,,,
