villageInnerId_村庄内部代码,gazetteerId_村志代码,villageId_村庄代码,nameChineseCharacters_村名汉字,nameHanyuPinyin_村名汉语拼音
132.0,132.0,370213009001,毕家上流村,Bijiashangliu Cun
133.0,133.0,120113100204,天穆村,Tianmu Cun
134.0,134.0,640423209204,梁堡村,Liangbao Cun
135.0,135.0,150221215200,苏波盖村,Subogai Cun
136.0,136.0,469027108212,丹村,Dan Cun
137.0,137.0,433123101209,菖蒲塘村,Changputang Cun
138.0,138.0,140823102222,东颜村,Dongyan Cun
139.0,139.0,522628104207,魁胆村,Kuidan Cun
140.0,140.0,522628202200,隆里所村,Longlisuo Cun
141.0,141.0,150402010202,大三家村,Dasanjia Cun
142.0,142.0,640121100205,纳家户村,Najiahu Cun
143.0,143.0,222404101206,防川村,Fangchuan Cun
144.0,144.0,341824103200,上庄村,Shangzhuang Cun
145.0,145.0,510112109211,宝狮村,Baoshi Cun
146.0,146.0,511902216200,凤凰庙村,Fenghuangmiao Cun
147.0,147.0,341021201210,卖花渔村,Maihuayu Cun
148.0,148.0,150123203203,西厂圪洞村,Xichanggedong Cun
149.0,149.0,630105100201,严小村,Yanxiao Cun
150.0,150.0,320903110007,宝才村,Baocai Cun
151.0,151.0,130185105202,宜安村,Yian Cun
152.0,152.0,NULL,传桂村,Chuangui Cun
153.0,153.0,360781200200,叶坪村,Yeping Cun
154.0,154.0,NULL,马路村,Malu Cun
156.0,156.0,431121100214,百花村,Baihua Cun
157.0,157.0,500106014202,上桥村,Shangqiao Cun
158.0,158.0,420704102203,茅草村,Maocao Cun
159.0,159.0,610113004200,北山门口村,Beishanmenkou Cun
160.0,160.0,NULL,逯家寨村,Lujiazhai Cun
161.0,161.0,522625102204,鸡鸣村,Jiming Cun
162.0,162.0,522628103210,丁达村,Dingda Cun
163.0,163.0,NULL,莲麻坑村,Lianmakeng Cun
164.0,164.0,620722105200,八卦营村,Baguaying Cun
165.0,165.0,361130103212,大畈村,Dafan Cun
166.0,166.0,120110006208,赤土村,Chitu Cun
167.0,167.0,150102008210,南店村,Nandian Cun
168.0,168.0,150429103206,杨树林子村,Yangshulinzi Cun
169.0,169.0,220211200200,永庆村,Yongqing Cun
170.0,170.0,630105100204,鲍家寨村,Baojiazhai Cun
171.0,171.0,420581101210,青林寺村,Qinglinsi Cun
172.0,172.0,620724201201,定平村,Dingping Cun
173.0,173.0,511602102212,果山村,Guoshan Cun
174.0,174.0,330783107246,蔡宅村,Caizhai Cun
176.0,176.0,640324203208,汪家塬村,Wangjiayuan Cun
177.0,177.0,530112006001,船房村,Chuanfang Cun
178.0,178.0,120113102210,双街村,Shuangjie Cun
179.0,179.0,451421203202,木民村,Mumin Cun
180.0,180.0,231084100203,红城村,Hongcheng Cun
181.0,181.0,440604011212,弼唐村,Bitang Cun
183.0,183.0,130983103217,旧城村,Jiucheng Cun
184.0,184.0,NULL,横西村,Hengxi Cun
185.0,185.0,460105100212,镇海村,Zhenhai Cun
186.0,186.0,433130206211,白岩洞村,Baiyandong Cun
187.0,187.0,410782103001,百泉村,Baiquan Cun
188.0,188.0,440811100205,调塾村,Tiaoshu Cun
189.0,189.0,131026102207,苑口村,Yuankou Cun
190.0,190.0,130302101019,范家店村,Fanjiadian Cun
191.0,191.0,440306007007,塘尾村,Tangwei Cun
192.0,192.0,610112002200,三桥村,Sanqiao Cun
193.0,193.0,440781106212,唐美村,Tangmei Cun
194.0,194.0,331124206200,界首村,Jieshou Cun
195.0,195.0,532901104202,珂里庄村,Kelizhuang Cun
196.0,196.0,610826106200,吉镇村,Jizhen Cun
197.0,197.0,140431104209,贤友村,Xianyou Cun
198.0,198.0,610830101221,徐家河村,Xujiahe Cun
199.0,199.0,320581100228,勤丰村,Qinfeng Cun
200.0,200.0,610113002203,观音庙村,Guanyinmiao Cun
201.0,201.0,320582106210,永联村,Yonglian Cun
203.0,203.0,110228101204,石马峪村,Shimayu Cun
204.0,204.0,530423105203,者湾村,Zhewan Cun
205.0,205.0,511126101203,黄土村,Huangtu Cun
206.0,206.0,532901104207,上关村,Shangguan Cun
207.0,207.0,510114103218,兴堰村,Xingyan Cun
208.0,208.0,510108013004,人民塘村,Renmintang Cun
209.0,209.0,530111006004,海东村,Haidong Cun
210.0,210.0,530421101201,三街村,Sanjie Cun
211.0,211.0,530521103206,山邑村,Shanyi Cun
212.0,212.0,510115101223,石坝村,Shiba Cun
213.0,213.0,510184119214,群安村,Qun'an Cun
214.0,214.0,530111005005,云溪村,Yunxi Cun
215.0,215.0,530127101224,龙街村,Longjie Cun
216.0,216.0,510181105228,金陵村,Jinling Cun
217.0,217.0,510122121208,瓦窑村,Wayao Cun
218.0,218.0,310112102203,九星村,Jiuxing Cun
219.0,219.0,533325101201,金凤村,Jinfeng Cun
220.0,220.0,532530202209,董棕河村,Dongzonghe Cun
221.0,221.0,310120118214,南胜村,Nansheng Cun
222.0,222.0,110108103201,唐家岭村,Tangjialing Cun
223.0,223.0,NULL,水闸口村,Shuizhakou Cun
224.0,224.0,110116004210,柏崖厂村,Baiyachang Cun
225.0,225.0,110107004010,古城村,Gucheng Cun
226.0,226.0,532901001201,天井村,Tianjing Cun
227.0,227.0,110115005233,后辛庄村,Houxinzhuang Cun
228.0,228.0,310115125220,环东村,Huandong Cun
229.0,229.0,530127104204,上马坊村,Shangmafang Cun
230.0,230.0,NULL,果园村,Guoyuan Cun
231.0,231.0,310115133206,众安村,Zhongan Cun
232.0,232.0,110106201201,马连道村,Maliandao Cun
233.0,233.0,NULL,棠东村,Tangdong Cun
234.0,234.0,441900111225,小坑村,Xiaokeng Cun
235.0,235.0,530524101202,勐廷村,Mengting Cun
236.0,236.0,110113113206,榆林村,Yulin Cun
238.0,238.0,310115103227,界龙村,Jielong Cun
239.0,239.0,530126101218,北山村,Beishan Cun
241.0,241.0,110105027202,龙爪树村,Longzhuashu Cun
242.0,242.0,310116109209,横浦村,Hengpu Cun
243.0,243.0,110111009200,南韩继村,Nanhanji Cun
244.0,244.0,310120102220,盐行村,Yanhang Cun
245.0,245.0,330382114208,上园村,Shangyuan Cun
246.0,246.0,310116109212,卫通村,Weitong Cun
247.0,247.0,310116104215,亭北村,Tingbei Cun
248.0,248.0,110112119219,东夏园村,Dongxiayuan Cun
249.0,249.0,310112103210,北桥村,Beiqiao Cun
250.0,250.0,310116101222,慧农村,Huinong Cun
251.0,251.0,532931101214,双河村,Shuanghe Cun
252.0,252.0,110111212211,金鸡台村,Jinjitai Cun
253.0,253.0,310118105216,崧泽村,Songze Cun
254.0,254.0,310116104204,亭东村,Tingdong Cun
255.0,255.0,310116101203,民主村,Minzhu Cun
256.0,256.0,110111009212,黄山店村,Huangshandian Cun
257.0,257.0,310112108202,华一村,Huayi Cun
258.0,258.0,530111006008,罗衙村,Luoya Cun
259.0,259.0,533325101002,江头河村,Jiangtouhe Cun
260.0,260.0,310114109203,钱桥村,Qianqiao Cun
261.0,261.0,140722200200,寒王村,Hanwang Cun
262.0,262.0,441900102202,新维村,Xinwei Cun
263.0,263.0,130181204226,东张口村,Dongzhangkou Cun
264.0,264.0,350105101216,长安村,Chang'an Cun
265.0,265.0,130481103402,磁山村,Cishan Cun
266.0,266.0,430703115203,洞阳观村,Dongyangguan Cun
267.0,267.0,610581002204,晨钟村,Chenzhong Cun
268.0,268.0,410306200200,北陈村,Beichen Cun
269.0,269.0,350823104206,南坑村,Nankeng Cun
270.0,270.0,330781200206,洞源村,Dongyuan Cun
271.0,271.0,610524100201,东街村,Dongjie Cun
272.0,272.0,430923103234,芙蓉村,Furong Cun
273.0,273.0,350121201213,超墘村,Chaoqian Cun
274.0,274.0,440306004006,怀德村,Huaide Cun
275.0,275.0,210212400205,高家村,Gaojia Cun
276.0,276.0,210212400206,大潘家村,Dapanjia Cun
277.0,277.0,370285107236,东大寨村,Dongdazhai Cun
278.0,278.0,330621106205,国际村,Guoji Cun
279.0,279.0,621121206207,黑石头村,Heishitou Cun
280.0,280.0,130421200218,北寨张村,Beizhaizhang Cun
281.0,281.0,210522110209,碑登村,Beideng Cun
282.0,282.0,330782004007,何麻车村,Hemache Cun
283.0,283.0,130426106201,固新村,Guxin Cun
285.0,285.0,441900110212,土塘村,Tutang Cun
286.0,286.0,110106201213,大井村,Dajing Cun
287.0,287.0,310116113208,东方村,Dongfang Cun
288.0,288.0,430702101213,枫树岗村,Fengshugang Cun
289.0,289.0,350122104201,百胜村,Baisheng Cun
290.0,290.0,211322004207,大板沟村,Dabangou Cun
291.0,291.0,370681101227,官曲村,Guanqu Cun
292.0,292.0,411222102209,凡村,Fan Cun
293.0,293.0,610624102204,碟子沟村,Diezigou Cun
294.0,294.0,NULL,北沙坡村,Beishapo Cun
295.0,295.0,370283004224,何家楼村,Hejialou Cun
296.0,296.0,371626101306,大省村,Dasheng Cun
297.0,297.0,130582201207,册井村,Cejing Cun
298.0,298.0,610821111244,葛富村,Gefu Cun
299.0,299.0,210921120210,衙门村,Yamen Cun
300.0,300.0,130434202215,斗门村,Doumen Cun
301.0,301.0,330726106206,长山村,Changshan Cun
302.0,302.0,NULL,南关村,Nanguan Cun
303.0,303.0,211103018201,陈屯村,Chentun Cun
304.0,304.0,350105101210,东岐村,Dongqi Cun
305.0,305.0,320382109003,港西村,Gangxi Cun
306.0,306.0,430224207204,大英村,Daying Cun
307.0,307.0,330225105225,方家岙村,Fangjiaao Cun
309.0,309.0,320584107218,开弦弓村,Kaixiangong Cun
310.0,310.0,371327101215,李家桑园村,Lijiasangyuan Cun
312.0,312.0,350425100201,红星村,Hongxing Cun
313.0,313.0,371402200215,刘集村,Liuji Cun
314.0,314.0,NULL,凌塘村,Lingtong Cun
315.0,315.0,410105015204,花沟王村,Huagouwang Cun
316.0,316.0,370105013004,黄岗村,Huanggang Cun
317.0,317.0,230881205200,八岔赫哲族村,Bacha Hezhezu Cun
318.0,318.0,371524105214,柳林屯村,Liulintun Cun
319.0,319.0,NULL,花园关村,Huayuanguan Cun
320.0,320.0,430421106211,金沙村,Jinsha Cun
321.0,321.0,430522108211,巨口铺村,Jukoupu Cun
322.0,322.0,350426103201,后楼村,Houlou Cun
323.0,323.0,320305103205,荒里村,Huangli Cun
324.0,324.0,411626200218,大张营村,Dazhangying Cun
325.0,325.0,411282104204,河西村,Hexi Cun
326.0,326.0,330621110242,江桃村,Jiangtao Cun
327.0,327.0,210682116204,四台子村,Sitaizi Cun
329.0,329.0,210212400201,后三羊头村,Housanyangtou Cun
330.0,330.0,211382008201,庙东村,Miaodong Cun
331.0,331.0,440112003009,茅岗村,Maogang Cun
332.0,332.0,NULL,近江村,Jinjiang Cun
333.0,333.0,610112007230,柳树林村,Liushulin Cun
334.0,334.0,320506103200,灵岩村,Lingyan Cun
335.0,335.0,610525101211,吉安城村,Ji'ancheng Cun
336.0,336.0,140429200213,常青村,Changqing Cun
337.0,337.0,320582401206,李巷村,Lixiang Cun
338.0,338.0,NULL,麻扎村,Mazha Cun
339.0,339.0,610125101211,旧泉坊村,Jiuquanfang Cun
340.0,340.0,320925103207,建河村,Jianhe Cun
341.0,341.0,141181105210,旧尉屯村,Jiuweitun Cun
342.0,342.0,210212013200,李家沟村,Lijiagou Cun
343.0,343.0,140728206201,梁官村,Liangguan Cun
344.0,344.0,320581100013,环湖村,Huanhu Cun
345.0,345.0,140421203209,辉河村,Huihe Cun
346.0,346.0,410902203212,胡干城村,Hugancheng Cun
347.0,347.0,110105037205,北甸西村,Beidianxi Cun
348.0,348.0,330109102202,尖山下村,Jianshanxia Cun
349.0,349.0,210881112206,后蚂虹嘴村,houmahongzui Cun
350.0,350.0,321281117201,蒋家村,Jiangjia Cun
351.0,351.0,NULL,雷家崄村,Leijiaxian Cun
352.0,352.0,430611101209,合兴村,Hexing Cun
353.0,353.0,141122100001,西街村,Xijie Cun
354.0,354.0,330881104235,花园岗村,Huayuangang Cun
355.0,355.0,130582202205,孟石岗村,Mengshigang Cun
356.0,356.0,411282107209,西水头村,Xishuitou Cun
357.0,357.0,140311102201,义东沟村,Yidonggou Cun
358.0,358.0,130522200204,丰盈村,Fengying Cun
359.0,359.0,440106022001,新塘村,Xintang Cun
360.0,360.0,440606104208,沙富村,Shafu Cun
361.0,361.0,441900117205,黄洞村,Huangdong Cun
362.0,362.0,440106015001,元岗村,Yuangang Cun
363.0,363.0,NULL,黄村,Huang Cun
364.0,364.0,441900117201,官井头村,Guanjingtou Cun
365.0,365.0,440106021003,珠村,Zhu Cun
366.0,366.0,410704200204,分将池村,Fenjiangchi Cun
367.0,367.0,440306004009,白石厦村,Baishixia Cun
368.0,368.0,441900117202,油甘埔村,Youganpu Cun
369.0,369.0,410704201203,尚介村,Shangjie Cun
370.0,370.0,410323106214,关址村,Guanzhi Cun
371.0,371.0,NULL,南程村,Nancheng Cun
372.0,372.0,410821206211,北洼村,Beiwa Cun
373.0,373.0,320581103219,李袁村,Liyuan Cun
374.0,374.0,320281003206,李沟头村,Ligoutou Cun
375.0,375.0,320412100204,三勤村,Sanqin Cun
376.0,376.0,131022103219,林城村,Lincheng Cun
377.0,377.0,130185500202,横山村,Hengshan Cun
378.0,378.0,421003103208,马店村,Madian Cun
379.0,379.0,320211009203,群丰村,Qunfeng Cun
380.0,380.0,141181002209,桥北村,Qiaobei Cun
381.0,381.0,NULL,马家疃村,Majiatuan Cun
382.0,382.0,450881120204,盘石村,Panshi Cun
383.0,383.0,370105014012,清河村,Qinghe Cun
384.0,384.0,610581001205,坡底村,Podi Cun
385.0,385.0,610125100206,七一村,Qiyi Cun
386.0,386.0,NULL,乔家辿村,Qiaojiazhan Cun
387.0,387.0,440305002007,南山村,Nanshan Cun
388.0,388.0,210212012200,龙头村,Longtou Cun
389.0,389.0,141002101200,乔李村,Qiaoli Cun
390.0,390.0,621002003201,秦霸岭村,Qinbaling Cun
391.0,391.0,320412102212,卢家巷村,Lujiaxiang Cun
392.0,392.0,610124208211,沙河岸村,Shahean Cun
393.0,393.0,110105038212,北皋村,Beigao Cun
394.0,394.0,440111014015,庆丰村,Qingfeng Cun
395.0,395.0,350128100002,右营村,Youying Cun
396.0,396.0,431127102201,毛俊村,Maojun Cun
397.0,397.0,370104100231,七里铺村,Qilipu Cun
398.0,398.0,141029200222,南崖村,Nanya Cun
399.0,399.0,NULL,南湾村,Nanwan Cun
400.0,400.0,430802108211,马头溪村,Matouxi Cun
401.0,401.0,130423101201,南东坊村,Nandongfang Cun
402.0,402.0,320581100249,小山村,Xiaoshan Cun
404.0,404.0,431226106204,漫水村,Manshui Cun
405.0,405.0,140525108204,南山村,Nanshan Cun
406.0,406.0,320381101203,李庄村,Lizhuang Cun
407.0,407.0,NULL,聂寨村,Niezhai Cun
408.0,408.0,140882002211,龙门村,Longmen Cun
409.0,409.0,NULL,桥塘村,Qiaotang Cun
411.0,411.0,450103101206,施厚村,Shihou Cun
412.0,412.0,370783104228,牛头镇村,Niutouzhen Cun
413.0,413.0,620722103218,三寨村,Sanzhai Cun
414.0,414.0,620123100202,南坡湾村,Nanpowan Cun
415.0,415.0,130133101201,南庄村,Nanzhuang Cun
416.0,416.0,NULL,潘山村,Panshan Cun
417.0,417.0,440183001208,罗岗村,Luogang Cun
418.0,418.0,NULL,平羌村,Pingqiang Cun
419.0,419.0,410104008008,南五里堡村,Nanwulipu Cun
420.0,420.0,330503102220,荃步村,Quanbu Cun
421.0,421.0,350181103210,牛宅村,Niuzhai Cun
422.0,422.0,110106202207,看丹村,Kandan Cun
423.0,423.0,110105038204,奶东村,Naidong Cun
424.0,424.0,610403203204,新集村,Xinji Cun
425.0,425.0,320412100237,夏雷村,Xialei Cun
427.0,427.0,350425100205,宋京村,Songjing Cun
428.0,428.0,620702103226,兴隆村,Xinglong Cun
429.0,429.0,450107004201,苏卢村,Sulu Cun
430.0,430.0,130981202239,石桥鲁道村,Shiqiaoludao Cun
431.0,431.0,210212005203,水师营村,Shuishiying Cun
432.0,432.0,431382202203,申家村,Shenjia Cun
433.0,433.0,NULL,吴家村,Wujia Cun
434.0,434.0,141181201200,下栅村,Xiazha Cun
435.0,435.0,210212010207,土城子村,Tuchengzi Cun
436.0,436.0,440306004007,兴围村,Xingwei Cun
437.0,437.0,620722102209,五坝村,Wuba Cun
438.0,438.0,330282004021,湾底村,Wandi Cun
439.0,439.0,140522101229,史山村,Shishan Cun
440.0,440.0,NULL,新房村,Xinfang Cun
441.0,441.0,320303006203,土山寺村,Tushansi Cun
442.0,442.0,210212005205,西沟村,Xigou Cun
443.0,443.0,210711070205,孙家湾村,Sunjiawan Cun
444.0,444.0,320583100036,同心村,Tongxin Cun
445.0,445.0,330225102252,文岙村,Wenao Cun
446.0,446.0,140821107209,王寮村,Wangliao Cun
447.0,447.0,620702103204,水磨湾村,Shuimowan Cun
448.0,448.0,330621004220,铜井村,Tongjing Cun
449.0,449.0,370302112001,渭二村,Weier Cun
450.0,450.0,140110003206,古城营村,Guchengying Cun
451.0,451.0,440306005020,万丰村,Wanfeng Cun
452.0,452.0,350582106208,围头村,Weitou Cun
453.0,453.0,370523104243,王道村,Wangdao Cun
454.0,454.0,370285001201,水集二村,Shuijier Cun
455.0,455.0,370302003001,西关一村,Xiguanyi Cun
456.0,456.0,NULL,唐林村,Tanglin Cun
457.0,457.0,130207107247,太各庄村,Taigezhuang Cun
458.0,458.0,520122201209,鹿窝村,Luwo Cun
459.0,459.0,370983001220,孙家小庄村,Sunjiaxiaozhuang Cun
460.0,460.0,411222100200,大营村,Daying Cun
461.0,461.0,440114001209,马溪村,Maxi Cun
462.0,462.0,NULL,棠下村,Tangxia Cun
463.0,463.0,431002100201,小溪村,Xiaoxi Cun
464.0,464.0,330304110215,沈岙村,Shen'ao Cun
465.0,465.0,330783108278,象塘村,Xiangtang Cun
466.0,466.0,NULL,石鼓村,Shigu Cun
467.0,467.0,410883002214,中曹村,Zhongcao Cun
468.0,468.0,140427104200,树掌村,Shuzhang Cun
470.0,470.0,450107001201,友爱村,Youai Cun
471.0,471.0,141182103213,义安村,Yian Cun
472.0,472.0,321011003201,堡城村,Baocheng Cun
473.0,473.0,130103008030,义堂村,Yitang Cun
474.0,474.0,622921215206,徐马村,Xuma Cun
475.0,475.0,370112003002,祝甸村,Zhudian Cun
476.0,476.0,350111100222,园中村,Yuanzhong Cun
477.0,477.0,371524001405,鱼山村,Yushan Cun
478.0,478.0,430521205249,羊家冲村,Yangjiachong Cun
479.0,479.0,210302013202,营城子村,Yingchengzi Cun
480.0,480.0,320506005200,新路村,Xinlu Cun
481.0,481.0,331124102200,玉岩村,Yuyan Cun
482.0,482.0,330183002227,新建村,Xinjian Cun
483.0,483.0,433123112206,雄龙村,Xionglong Cun
484.0,484.0,610821109230,薛家会村,Xuejiahui Cun
485.0,485.0,NULL,浔龙村,Xunlong Cun
486.0,486.0,211103018204,西跃村,Xiyue Cun
487.0,487.0,410704200206,堡上村,Baoshang Cun
488.0,488.0,141023102208,西中黄村,Xizhonghuang Cun
489.0,489.0,410105102207,杲村,Gao Cun
490.0,490.0,350582103220,洋埭村,Yangdai Cun
491.0,491.0,330624107200,小将村,Xiaojiang Cun
492.0,492.0,210421205226,油坊村,Youfang Cun
493.0,493.0,620723105203,友好村,Youhao Cun
494.0,494.0,NULL,枣牌刘村,Zaopailiu Cun
495.0,495.0,140821202213,西齐永村,Xiqiyong Cun
496.0,496.0,NULL,龙塘村,Longtang Cun
497.0,497.0,410181101202,新中村,Xinzhong Cun
498.0,498.0,140429202221,枣烟村,Zaoyan Cun
499.0,499.0,330212110258,走马塘村,Zoumatang Cun
500.0,500.0,610581100208,西原村,Xiyuan Cun
501.0,501.0,350121102217,元峰村,Yuanfeng Cun
502.0,502.0,130582102224,窑坡村,Yaopo Cun
503.0,503.0,130107101009,张家井村,Zhangjiajing Cun
504.0,504.0,130129201401,南关村,Nanguan Cun
505.0,505.0,421224100202,新塘下村,Xintangxia Cun
506.0,506.0,441900117207,竹尾田村,Zhuweitian Cun
507.0,507.0,330281002209,永丰村,Yongfeng Cun
508.0,508.0,140881104210,寨子村,Zhaizi Cun
509.0,509.0,610922100208,新堰村,Xinyan Cun
510.0,510.0,410104202203,南岗村,Nangang Cun
511.0,511.0,370613004218,西解甲庄村,Xixiejiazhuang Cun
512.0,512.0,410825101207,薛肇村,Xuezhao Cun
513.0,513.0,420704001203,洋澜村,Yanglan Cun
514.0,514.0,411281006001,千秋村,Qianqiu Cun
515.0,515.0,140823100230,仪张村,Yizhang Cun
516.0,516.0,330781104200,诸葛村,Zhuge Cun
