id,name,pinyin
106,历城区,Licheng Qu
107,双流县,Shuangliu Xian
108,古县,Gu Xian
109,古城区,Gucheng Qu
110,古田县,Gutian Xian
111,召陵区,Shaoling Qu
112,台山市,Taishan Shi
113,合阳县,Heyang Xian
114,吉利区,Jili Qu
115,同安区,Tongan Qu
116,同心县,Tongxin Xian
117,同江市,Tongjiang Shi
118,君山区,Junshan Qu
119,吴中区,Wuzhong Qu
120,吴桥县,Wuqiao Xian
121,吴江区,Wujiang Qu
122,吴江市,Wujiang Shi
123,周村区,Zhoucun Qu
124,周至县,Zhouzhi Xian
125,和林格尔县,Helingeer Xian
126,唐河县,Tanghe Xian
127,商城县,Shangcheng Xian
128,嘉定区,Jiading Qu
129,固安县,Gu'an Xian
130,土默特右旗,Tumoteyou Qi
131,坊子区,Fangzi Qu
132,垦利县,Kenli Xian
133,埇桥区,Yongqiao Qu
134,城东区,Chengdong Qu
135,城北区,Chengbei Qu
136,城西区,Chengxi Qu
137,增城市,Zengcheng Shi
138,壶关县,Huguan Xian
139,大兴区,Daxing Qu
140,大名县,Daming Xian
141,大城县,Dacheng Xian
142,大宁县,Daning Xian
143,大安区,Daan Qu
144,大理市,Dali Shi
145,大田县,Datian Xian
146,天桥区,Tianqiao Qu
147,天河区,Tianhe Qu
148,天涯区,Tianya Qu
149,太和区,Taihe Qu
150,夷陵区,Yiling Qu
151,夹江县,Jiajiang Xian
152,奉贤区,Fengxian Qu
153,威远县,Weiyuan Xian
154,婺源县,Wuyuan Xian
155,子洲县,Zizhou Xian
156,孝义市,Xiaoyi Shi
157,孟州市,Mengzhou Shi
158,孟村回族自治县,Mengcun Huizu Zizhixian
159,宁城县,Ningcheng Xian
160,宁安市,Ning'an Shi
161,宁河县,Ninghe Xian
162,宁海县,Ninghai Xian
163,宁都县,Ningdu Xian
164,宁阳县,Ningyang Xian
165,安丘市,Anqiu Shi
166,安化县,Anhua Xian
167,安吉县,Anji Xian
168,安塞县,Ansai Xian
169,安岳县,Anyue Xian
170,安新县,Anxin Xian
171,安源区,Anyuan Qu
172,安福县,Anfu Xian
173,安阳县,Anyang Xian
174,安陆市,Anlu Shi
175,安龙县,Anlong Xian
176,宏伟区,Hongwei Qu
177,官渡区,Guandu Qu
178,官渡社区,Guandu Shequ
179,定襄县,Dingxiang Xian
180,宜兴市,Yixing Shi
181,宜君县,Yijun Xian
182,宜良县,Yiliang Xian
183,宜都市,Yidu Shi
184,宝安区,Bao'an Qu
185,宝应县,Baoying Xian
186,密云县,Miyun Xian
187,富平县,Fuping Xian
188,富拉尔基区,Fulaerji Qu
189,富源县,Fuyuan Xian
190,富阳市,Fuyang Shi
191,寿光市,Shouguang Shi
192,封丘县,Fengqiu Xian
193,射洪县,Shehong Xian
194,小店区,Xiaodian Qu
195,尖草坪区,Jiancaoping Qu
196,尤溪县,Youxi Xian
197,尧都区,Yaodu Qu
198,屯溪区,Tunxi Qu
199,山丹县,Shandan Xian
200,山城区,Shancheng Qu
201,岐山县,Qishan Xian
202,峰峰矿区,Fengfeng Kuangqu
203,崂山区,Laoshan Qu
204,崇州市,Chongzhou Shi
205,崇明区,Chongming Qu
206,嵊州市,Shengzhou Shi
207,嵩县,Song Xian
208,嵩明县,Songming Xian
209,巍山彝族回族自治县,Weishan Yizu Huizu Zizhixian
210,左权县,Zuoquan Xian
211,巩义市,Gongyi Shi
212,巫溪县,Wuxi Xian
213,巴南区,Banan Qu
214,巴州区,Bazhou Qu
215,巴彦县,Bayan Xian
216,常熟市,Changshu Shi
217,平定县,Pingding Xian
218,平度市,Pingdu Shi
219,平昌县,Pingchang Xian
220,平潭县,Pingtan Xian
221,平遥县,Pingyao Xian
222,平陆县,Pinglu Xian
223,广安区,Guang'an Qu
224,广宗县,Guangzong Xian
225,广德县,Guangde Xian
226,广陵区,Guangling Qu
227,广饶县,Guangrao Xian
228,庆元县,Qingyuan Xian
229,府谷县,Fugu Xian
230,延平区,Yanping Qu
231,建平县,Jianping Xian
232,建德市,Jiande Shi
233,建湖县,Jianhu Xian
234,建瓯市,Jian'ou Shi
235,开阳县,Kaiyang Xian
236,张家港市,Zhangjiagang Shi
237,张店区,Zhangdian Qu
238,弥勒县,Mile Xian
239,彭州市,Pengzhou Shi
240,彭阳县,Pengyang Xian
241,徐闻县,Xuwen Xian
242,循化撒拉族自治县,Xunhua Salazu Zizhixian
243,德化县,Dehua Xian
244,德城区,Decheng Qu
245,德庆县,Deqing Xian
246,怀柔区,Huairou Qu
247,怀柔县,Huairou Xian
248,恩施市,Enshi Shi
249,恩阳区,Enyang Qu
250,息烽县,Xifeng Xian
251,惠山区,Huishan Qu
252,惠济区,Huiji Qu
253,慈利县,Cili Xian
254,慈溪市,Cixi Shi
255,成华区,Chenghua Qu
256,成武县,Chengwu Xian
257,户县,Hu Xian
258,房山区,Fangshan Qu
259,扶绥县,Fusui Xian
260,技术经济开发区,Jingji Jishu Kaifaqu
261,抚松县,Fusong Xian
262,抚顺县,Fushun Xian
263,招远市,Zhaoyuan Shi
264,拱墅区,Gongshu Qu
265,揭东县,Jiedong Xian
266,敖汉旗,Aohan Qi
267,文安县,Wenan Xian
268,文山县,Wenshan Xian
269,文水县,Wenshui Xian
270,斗门区,Doumen Qu
271,新北区,Xinbei Qu
272,新华区,Xinhua Qu
273,新县,Xin Xian
274,新城区,Xincheng Qu
275,新安县,Xin'an Xian
276,新密市,Xinmi Shi
277,新昌县,Xinchang Xian
278,新沂市,Xinyi Shi
279,新泰市,Xintai Shi
280,新田县,Xintian Xian
281,新界北区,Xinjie Beiqu
282,新罗区,Xinluo Shi
283,新蒲新区,Xinpu Xinqu
284,新邵县,Xinshao Xian
285,新郑市,Xinzheng Shi
286,新都区,Xindu Qu
287,施甸县,Shidian Xian
288,无极县,Wuji Xian
289,昆山市,Kunshan Shi
290,昌乐县,Changle Xian
291,昌宁县,Changning Xian
292,昌平区,Changping Qu
293,昔阳县,Xiyang Xian
294,晋安区,Jin'an Qu
295,晋江市,Jinjiang Shi
296,晋源区,Jinyuan Qu
297,普宁市,Puning Shi
298,普安县,Puan Xian
299,景县,Jing Xian
300,曲阜市,Qufu Shi
301,望奎县,Wangkui Xian
302,朝阳区,Chaoyang Qu
303,未央区,Weiyang Qu
304,李沧区,Licang Qu
305,杨陵区,Yangling Qu
306,松滋市,Songzi Shi
307,松阳县,Songyang Xian
308,林州市,Linzhou Shi
309,枝江市,Zhijiang Shi
310,柯桥区,Keqiao Qu
311,柳城县,Liucheng Xian
312,栖霞市,Qixia Shi
313,栾城区,Luancheng Qu
314,桂平市,Guiping Shi
315,桃城区,Taocheng Qu
316,桃源县,Taoyuan Xian
317,桓仁满族自治县,Huanren Manzu Zizhixian
318,桓台县,Huantai Xian
319,桥东区,Qiaodong Qu
320,桥西区,Qiaoxi Qu
321,梁河县,Lianghe Xian
322,梅县,Mei Xian
323,梅县区,Meixian Qu
324,楚雄市,Chuxiong Shi
325,榆中县,Yuzhong Xian
326,榆阳区,Yuyang Qu
327,榕城区,Rongcheng Qu
328,槐荫区,Huaiyin Qu
329,横山县,Hengshan Xian
330,歙县,She Xian
331,正定县,Zhengding Xian
332,武乡县,Wuxiang Xian
333,武安市,Wu'an Shi
334,武清区,Wuqing Qu
335,武穴市,Wuxue Shi
336,武进区,Wujin Qu
337,武陵区,Wuling Qu
338,民乐县,Minle Xian
339,永宁县,Yongning Xian
340,永定区,Yongding Qu
341,永定县,Yongding Xian
342,永川区,Yongchuan Qu
343,永年县,Yongnian Xian
344,永康市,Yongkang Shi
345,永春县,Yongchun Xian
346,永济市,Yongji Shi
347,永登县,Yongdeng Xian
348,永顺县,Yongshun Xian
349,汝州市,Ruzhou Shi
350,江北区,Jiangbei Qu
351,江山市,Jiangshan Shi
352,江川县,Jiangchuan Xian
353,江干区,Jianggan Qu
354,江阴市,Jiangyin Shi
355,汤阴县,Tangyin Xian
356,汾西县,Fenxi Xian
357,汾阳市,Fenyang Shi
358,沁水县,Qinshui Xian
359,沁源县,Qinyuan Xian
360,沁阳市,Qinyang Shi
361,沙县,Sha Xian
362,沙坪坝区,Shapingba Qu
363,沙河市,Shahe Shi
364,沙洋县,Shayang Xian
365,沧县,Cang Xian
366,河口区,Hekou Qu
367,河曲县,Hequ Xian
368,河津市,Hejin Shi
369,河间市,Hejian Shi
370,泉港区,Quangang Qu
371,泊头市,Botou Shi
372,泗水县,Sishui Xian
373,泰顺县,Taishun Xian
374,泸县,Lu Xian
375,泽州县,Zezhou Xian
376,洞头县,Dongtou Xian
377,津南区,Jinnan Qu
378,济源市,Jiyuan Shi
379,浦东新区,Pudong Xinqu
380,浦江县,Pujiang Xian
381,海州区,Haizhou Qu
382,海淀区,Haidian Qu
383,海港区,Haigang Qu
384,海阳市,Haiyang Shi
385,涉县,She Xian
386,涞水县,Laishui Xian
387,涟源市,Lianyuan Shi
388,涵江区,Hanjiang Qu
389,淄川区,Zichuan Qu
390,淅川县,Xichuan Xian
391,淇县,Qi Xian
392,淮阳县,Huaiyang Xian
393,清徐县,Qingxu Xian
394,清涧县,Qingjian Xian
395,温县,Wen Xian
396,温江区,Wenjiang Qu
397,渭城区,Weicheng Qu
398,渭滨区,Weibin Qu
399,湖口县,Hukou Xian
400,湘东区,Xiangdong Qu
401,湘乡市,Xiangxiang Shi
402,湘潭县,Xiangtan Xian
403,溆浦县,Xupu Xian
404,滑县,Hua Xian
405,滕州市,Tengzhou Shi
406,滨江区,Binjiang Qu
407,滨湖区,Binhu Qu
408,潍城区,Weicheng Qu
409,潞城市,Lucheng Shi
410,澄城县,Chengcheng Xian
411,澄迈县,Chengmai Xian
412,濮阳县,Puyang Xian
413,灌云县,Guanyun Xian
414,灵宝县,Lingbao Xian
415,灵宝市,Lingbao Shi
416,灵寿县,Lingshou Xian
417,灵石县,Lingshi Xian
418,爱辉区,Aihui Qu
419,牟平区,Muping Qu
420,猇亭区,Xiaoting Qu
421,玉州区,Yuzhou Qu
422,环江毛南族自治县,Huanjiang Maonanzu Zizhixian
423,珲春市,Huichun Shi
424,瑞金市,Ruijin Shi
425,瓯海区,Ouhai Qu
426,甘州区,Ganzhou Qu
427,登封市,Dengfeng Shi
428,白云区,Baiyun Qu
429,盂县,Yu Xian
430,盐山县,Yanshan Xian
431,盐湖区,Yanhu Qu
432,盐都区,Yandu Qu
433,盖州市,Gaizhou Shi
434,相城区,Xiangcheng Qu
435,相山区,Xiangshan Qu
436,睢宁县,Suining Xian
437,石景山区,Shijingshan Qu
438,石林彝族自治县,Shilin Yizu Zizhixian
439,石泉县,Shiquan Xian
440,碑林区,Beilin Qu
441,社旗县,Sheqi Xian
442,祁县,Qi Xian
443,祁阳县,Qiyang Xian
444,神木县,Shenmu Xian
445,祥云县,Xiangyun Xian
446,禅城区,Chancheng Qu
447,福山区,Fushan Qu
448,福清市,Fuqing Shi
449,福田区,Futian Qu
450,秀英区,Xiuying Qu
451,秦安县,Qin'an Xian
452,秭归县,Zigui Xian
453,竞秀区,Jingxiu Qu
454,章丘市,Zhangqiu Shi
455,简阳市,Jianyang Shi
456,管城回族区,Guancheng Huizu Qu
457,紫金县,Zijin Xian
458,繁峙县,Fanshi Xian
459,红山区,Hongshan Qu
460,红花岗区,Honghuagang Qu
461,纳溪区,Naxi Qu
462,绍兴县,Shaoxing Xian
463,经济技术开发区,Jingji Jishu Kaifaqu
464,绥德县,Suide Xian
465,绩溪县,Jixi Xian
466,罗源县,Luoyuan Xian
467,翁源县,Wengyuan Xian
468,翼城县,Yicheng Xian
469,老城区,Laocheng Qu
470,肥城市,Feicheng Shi
471,胶州市,Jiaozhou Shi
472,腾冲市,Tengchong Shi
473,自流井区,Ziliujing Qu
474,芜湖县,Wuhu Xian
475,花都区,Huadu Qu
476,苍山县,Cangshan Xian
477,茅箭区,Maojian Qu
478,茶陵县,Chaling Xian
479,荆州区,Jingzhou Qu
480,荔城区,Licheng Qu
481,荣成市,Rongcheng Shi
482,荥阳市,Xingyang Shi
483,莒南县,Ju'nan Xian
484,莘县,Shen Xian
485,莫力达瓦达斡尔族自治旗,Moli Dawa Dawoerzu Zizhiqi
486,莱山区,Laishan Qu
487,莱州市,Laizhou Shi
488,莱西市,Laixi Shi
489,莲池区,Lianchi Qu
490,获嘉县,Huojia Xian
491,营山县,Yingshan Xian
492,萧山区,Xiaoshan Qu
493,蒲江县,Pujiang Xian
494,蓝山县,Lanshan Xian
495,蓝田县,Lantian Xian
496,蓬安县,Peng'an Xian
497,蓬溪县,Pengxi Xian
498,蔡甸区,Caidian Qu
499,蕉城区,Jiaocheng Qu
500,衡阳县,Hengyang Xian
501,襄汾县,Xiangfen Xian
502,西乡塘区,Xixiangtang Qu
503,西山区,Xishan Qu
504,西峡县,Xixia Xian
505,西峰区,Xifeng Qu
506,西秀区,Xixiu Qu
507,西青区,Xiqing Qu
508,诸城市,Zhucheng Shi
509,诸暨市,Zhuji Shi
510,象山县,Xiangshan Xian
511,贾汪区,Jiawang Qu
512,赞皇县,Zanhuang Xian
513,赫山区,Heshan Qu
514,赵县,Zhao Xian
515,越城区,Yuecheng Qu
516,辉县市,Huixian Shi
517,辛集市,Xinji Shi
518,达拉特旗,Dalate Qi
519,连江县,Lianjiang Xian
520,通山县,Tongshan Xian
521,通州区,Tongzhou Qu
522,通江县,Tongjiang Xian
523,通海县,Tonghai Xian
524,通渭县,Tongwei Xian
525,遂昌县,Suichang Xian
526,道县,Dao Xian
527,邓州市,Dengzhou Shi
528,邕宁区,Yongning Qu
529,邗江区,Hanjiang Qu
530,邛崃市,Qionglai Shi
531,邢台县,Xingtai Xian
532,邯郸县,Handan Xian
533,邳州市,Pizhou Shi
534,邵东县,Shaodong Xian
535,邹城市,Zoucheng Shi
536,邹平县,Zouping Xian
537,郊区,Jiao Qu
538,郑东新区,Zhengdong Xinqu
539,郓城县,Yuncheng Xian
540,郧县,Yun Xian
541,都安瑶族自治县,Du'an Yaozu Zizhixian
542,都江堰市,Dujiangyan Shi
543,鄂城区,Echeng Qu
544,鄞州区,Yinzhou Qu
545,鄠邑区,Huyi Qu
546,鄯善县,Shanshan Xian
547,金台区,Jintai Qu
548,金寨县,Jinzhai Xian
549,金山区,Jinshan Qu
550,金平苗族瑶族傣族自治县,Jinping Miaozu Yaozu Daizu Zizhixian
551,金水区,Jinshui Qu
552,铁东区,Tiedong Qu
553,铁锋区,Tiefeng Qu
554,铜山区,Tongshan Qu
555,锦屏县,Jinping Xian
556,镇平县,Zhenping Xian
557,镇海区,Zhenhai Qu
558,镇远县,Zhenyuan Xian
559,长兴县,Changxing Xian
560,长垣县,Changyuan Xian
561,长子县,Zhangzi Xian
562,长岛县,Changdao Xian
563,长沙县,Changsha Xian
564,长治县,Changzhi Xian
565,长葛市,Changge Shi
566,门头沟区,Mentougou Qu
567,闵行区,Minhang Qu
568,闻喜县,Wenxi Xian
569,闽侯县,Minhou Xian
570,阜新蒙古族自治县,Fuxin Mengguzu Zizhixian
571,阳原县,Yangyuan Xian
572,阳城县,Yangcheng Xian
573,阳高县,Yanggao Xian
574,陕县,Shan Xian
575,陕州区,Shanzhou Qu
576,隆回县,Longhui Xian
577,隆安县,Longan Xian
578,隆德县,Longde Xian
579,隆林各族自治县,Longlin Gezu Zizhixian
580,隆阳区,Longyang Qu
581,隰县,Xi Xian
582,雁塔区,Yanta Qu
583,雨花区,Yuhua Qu
584,霍山县,Huoshan Xian
585,霍邱县,Huoqiu Xian
586,霞浦县,Xiapu Xian
587,霸州市,Bazhou Shi
588,青县,Qing Xian
589,青浦区,Qingpu Qu
590,青白江区,Qingbaijiang Qu
591,青神县,Qingshen Xian
592,青秀区,Qingxiu Qu
593,静海县,Jinghai Xian
594,韩城市,Hancheng Shi
595,顺义区,Shunyi Qu
596,顺平县,Shunping Xian
597,顺德区,Shunde Qu
598,顺昌县,Shunchang Xian
599,马尾区,Mawei Qu
600,高台县,Gaotai Xian
601,高密市,Gaomi Shi
602,高州市,Gaozhou Shi
603,高平市,Gaoping Shi
604,高新区,Gaoxin Qu
605,高新技术开发区,Gaoxin Jishu Kaifaqu
606,高淳县,Gaochun Xian
607,高碑店市,Gaobeidian Shi
608,高邑县,Gaoyi Xian
609,高青县,Gaoqing Xian
610,魏县,Wei Xian
611,鹿泉区,Luquan Qu
612,鹿泉市,Luquan Shi
613,麦积区,Maiji Qu
614,麻章区,Mazhang Qu
615,麻阳苗族自治县,Mayang Miaozu Zizhixian
616,黄埔区,Huangpu Qu
617,黄平县,Huangping Xian
618,黄浦区,Huangpu Qu
619,黄陂区,Huangpi Qu
620,黄骅市,Huanghua Shi
621,黎城县,Licheng Xian
622,黎平县,Liping Xian
623,鼎城区,Dingcheng Qu
624,鼓楼区,Gulou Qu
625,齐河县,Qihe Xian
626,龙口市,Longkou Shi
627,龙山县,Longshan Xian
628,龙岗区,Longgang Qu
629,龙川县,Longchuan Xian
630,龙泉市,Longquan Shi
631,龙泉驿区,Longquanyi Qu
632,龙湾区,Longwan Qu
